               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.080907,            0.084712,                   0,             0.27532,             0.35185,             0.23177,            0.068005,            0.084234,            0.068607,                   0,             0.00494,             0.00494,             0.00494
                  71,             0.07923,             0.08054,                   0,             0.25503,             0.34127,             0.20584,             0.06336,            0.079749,            0.069362,                   0,           0.0048667,           0.0048667,           0.0048667
                  72,            0.076123,            0.077937,                   0,             0.25503,             0.34127,             0.20584,             0.06336,            0.079749,            0.069362,                   0,           0.0047933,           0.0047933,           0.0047933
                  73,            0.077412,            0.080364,                   0,             0.23124,             0.38435,             0.22035,            0.068819,            0.078681,            0.067769,                   0,             0.00472,             0.00472,             0.00472
                  74,            0.072678,            0.081846,                   0,             0.23124,             0.38435,             0.22035,            0.068819,            0.078681,            0.067769,                   0,           0.0046467,           0.0046467,           0.0046467
                  75,            0.072094,            0.073057,                   0,             0.21711,             0.38095,             0.18906,            0.062719,            0.077472,            0.066754,                   0,           0.0045733,           0.0045733,           0.0045733
                  76,            0.076095,            0.085286,                   0,             0.21711,             0.38095,             0.18906,            0.062719,            0.077472,            0.066754,                   0,              0.0045,              0.0045,              0.0045
                  77,            0.077894,            0.084787,                   0,             0.14955,             0.39153,             0.13635,            0.041406,            0.084066,            0.067008,                   0,           0.0044267,           0.0044267,           0.0044267
                  78,            0.073964,            0.065234,                   0,             0.14955,             0.39153,             0.13635,            0.041406,            0.084066,            0.067008,                   0,           0.0043533,           0.0043533,           0.0043533
                  79,            0.074409,            0.079103,                   0,             0.24269,             0.40212,             0.22879,             0.07932,            0.074775,            0.067453,                   0,             0.00428,             0.00428,             0.00428
                  80,            0.069602,            0.077918,                   0,             0.24269,             0.40212,             0.22879,             0.07932,            0.074775,            0.067453,                   0,           0.0042067,           0.0042067,           0.0042067
                  81,            0.071638,            0.080006,                   0,             0.23945,             0.43651,             0.23776,             0.07878,            0.077772,            0.066986,                   0,           0.0041333,           0.0041333,           0.0041333
                  82,            0.075374,            0.077921,                   0,             0.23945,             0.43651,             0.23776,             0.07878,            0.077772,            0.066986,                   0,             0.00406,             0.00406,             0.00406
                  83,            0.070171,            0.074019,                   0,              0.2435,             0.40476,              0.2173,            0.075086,            0.075015,            0.065266,                   0,           0.0039867,           0.0039867,           0.0039867
                  84,            0.071923,            0.084905,                   0,              0.2435,             0.40476,              0.2173,            0.075086,            0.075015,            0.065266,                   0,           0.0039133,           0.0039133,           0.0039133
                  85,             0.07161,            0.083416,                   0,             0.25394,             0.44444,             0.24964,            0.087853,            0.072467,            0.065111,                   0,             0.00384,             0.00384,             0.00384
                  86,            0.069762,            0.080679,                   0,             0.25394,             0.44444,             0.24964,            0.087853,            0.072467,            0.065111,                   0,           0.0037667,           0.0037667,           0.0037667
                  87,            0.069486,            0.086591,                   0,             0.29637,             0.45238,             0.27987,             0.09887,            0.070022,             0.06468,                   0,           0.0036933,           0.0036933,           0.0036933
                  88,            0.072346,            0.076923,                   0,             0.29637,             0.45238,             0.27987,             0.09887,            0.070022,             0.06468,                   0,             0.00362,             0.00362,             0.00362
                  89,            0.072019,            0.081228,                   0,             0.30217,             0.45135,             0.27806,             0.10355,            0.070145,            0.063531,                   0,           0.0035467,           0.0035467,           0.0035467
                  90,            0.068808,             0.08202,                   0,             0.30217,             0.45135,             0.27806,             0.10355,            0.070145,            0.063531,                   0,           0.0034733,           0.0034733,           0.0034733
                  91,            0.069449,            0.083429,                   0,             0.32884,             0.43651,             0.30946,             0.11191,            0.067791,            0.062693,                   0,              0.0034,              0.0034,              0.0034
                  92,            0.070008,            0.074035,                   0,             0.32884,             0.43651,             0.30946,             0.11191,            0.067791,            0.062693,                   0,           0.0033267,           0.0033267,           0.0033267
                  93,            0.064916,            0.074543,                   0,             0.31594,             0.48263,             0.31433,             0.11357,            0.068188,             0.06092,                   0,           0.0032533,           0.0032533,           0.0032533
                  94,            0.064639,            0.076387,                   0,             0.31594,             0.48263,             0.31433,             0.11357,            0.068188,             0.06092,                   0,             0.00318,             0.00318,             0.00318
                  95,            0.070062,            0.075183,                   0,             0.33227,             0.44974,             0.32848,              0.1093,            0.069186,            0.059891,                   0,           0.0031067,           0.0031067,           0.0031067
                  96,            0.065418,            0.074924,                   0,             0.33227,             0.44974,             0.32848,              0.1093,            0.069186,            0.059891,                   0,           0.0030333,           0.0030333,           0.0030333
                  97,            0.068204,             0.08209,                   0,             0.34931,             0.51323,             0.33999,             0.13214,            0.067168,            0.060144,                   0,             0.00296,             0.00296,             0.00296
                  98,            0.064155,            0.079203,                   0,             0.34931,             0.51323,             0.33999,             0.13214,            0.067168,            0.060144,                   0,           0.0028867,           0.0028867,           0.0028867
                  99,            0.063589,            0.091696,                   0,             0.39605,              0.5083,             0.40107,              0.1518,            0.065276,            0.060566,                   0,           0.0028133,           0.0028133,           0.0028133
                 100,            0.062677,            0.072418,                   0,             0.39605,              0.5083,             0.40107,              0.1518,            0.065276,            0.060566,                   0,             0.00274,             0.00274,             0.00274
