               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.071727,             0.11806,           0.0067518,             0.83864,             0.21875,             0.20731,            0.085388,            0.063297,            0.077597,           0.0074433,           0.0052084,           0.0052084,           0.0052084
                 123,            0.067733,             0.10094,           0.0057093,             0.86709,              0.2166,             0.22206,            0.083856,            0.066488,            0.077996,           0.0074531,           0.0051688,           0.0051688,           0.0051688
                 124,            0.067644,            0.087236,           0.0085317,             0.86709,              0.2166,             0.22206,            0.083856,            0.066488,            0.077996,           0.0074531,           0.0051292,           0.0051292,           0.0051292
                 125,            0.065187,            0.089053,           0.0085835,             0.86235,             0.22992,             0.22257,            0.087093,            0.059792,            0.075417,           0.0074537,           0.0050896,           0.0050896,           0.0050896
                 126,            0.066003,             0.12947,            0.010564,             0.86235,             0.22992,             0.22257,            0.087093,            0.059792,            0.075417,           0.0074537,             0.00505,             0.00505,             0.00505
                 127,             0.06483,             0.11474,           0.0074844,             0.88465,             0.21756,             0.23405,            0.097542,            0.059852,            0.076339,           0.0074245,           0.0050104,           0.0050104,           0.0050104
                 128,            0.062907,             0.10414,           0.0081856,             0.88465,             0.21756,             0.23405,            0.097542,            0.059852,            0.076339,           0.0074245,           0.0049708,           0.0049708,           0.0049708
                 129,            0.069539,            0.099547,           0.0078845,              0.8318,             0.21693,             0.19163,            0.076579,            0.063036,            0.075169,           0.0074289,           0.0049312,           0.0049312,           0.0049312
                 130,            0.065902,             0.11994,           0.0061704,              0.8318,             0.21693,             0.19163,            0.076579,            0.063036,            0.075169,           0.0074289,           0.0048916,           0.0048916,           0.0048916
                 131,            0.068259,             0.10205,           0.0061968,             0.87025,             0.22204,             0.22999,            0.092721,            0.059954,            0.075329,           0.0074186,            0.004852,            0.004852,            0.004852
                 132,            0.063061,            0.096796,           0.0063787,             0.87025,             0.22204,             0.22999,            0.092721,            0.059954,            0.075329,           0.0074186,           0.0048124,           0.0048124,           0.0048124
                 133,            0.064745,             0.10635,           0.0055057,             0.83578,             0.22753,             0.20323,            0.083319,            0.061416,            0.074668,           0.0073934,           0.0047728,           0.0047728,           0.0047728
                 134,            0.066938,             0.10437,           0.0046816,             0.83578,             0.22753,             0.20323,            0.083319,            0.061416,            0.074668,           0.0073934,           0.0047332,           0.0047332,           0.0047332
                 135,            0.066359,             0.11103,           0.0061299,             0.89397,             0.23629,             0.25411,             0.10232,            0.059422,             0.07469,           0.0073658,           0.0046936,           0.0046936,           0.0046936
                 136,            0.067814,             0.10686,           0.0072541,             0.89397,             0.23629,             0.25411,             0.10232,            0.059422,             0.07469,           0.0073658,            0.004654,            0.004654,            0.004654
                 137,            0.067397,             0.11865,           0.0072239,             0.89926,             0.23418,             0.25641,              0.1093,            0.058264,            0.074486,           0.0073374,           0.0046144,           0.0046144,           0.0046144
                 138,            0.066134,             0.10401,           0.0064327,             0.89926,             0.23418,             0.25641,              0.1093,            0.058264,            0.074486,           0.0073374,           0.0045748,           0.0045748,           0.0045748
                 139,            0.063741,             0.10795,           0.0070673,             0.90037,             0.22635,             0.25561,             0.10324,             0.06159,             0.07412,           0.0073388,           0.0045352,           0.0045352,           0.0045352
                 140,            0.067692,              0.1204,            0.011395,             0.90037,             0.22635,             0.25561,             0.10324,             0.06159,             0.07412,           0.0073388,           0.0044956,           0.0044956,           0.0044956
                 141,            0.068715,             0.10771,           0.0057929,             0.90117,             0.24342,             0.26499,             0.11148,            0.058568,            0.072903,           0.0073323,            0.004456,            0.004456,            0.004456
                 142,            0.065058,               0.105,           0.0037485,             0.90117,             0.24342,             0.26499,             0.11148,            0.058568,            0.072903,           0.0073323,           0.0044164,           0.0044164,           0.0044164
                 143,            0.060674,             0.10788,            0.010421,             0.90677,             0.23629,             0.26374,             0.10699,            0.060654,            0.073051,           0.0073294,           0.0043768,           0.0043768,           0.0043768
                 144,            0.068565,             0.10266,           0.0077359,             0.90677,             0.23629,             0.26374,             0.10699,            0.060654,            0.073051,           0.0073294,           0.0043372,           0.0043372,           0.0043372
                 145,            0.062166,            0.090067,            0.004561,             0.88185,             0.22423,               0.237,            0.097887,            0.058457,             0.07321,           0.0073296,           0.0042976,           0.0042976,           0.0042976
                 146,            0.065725,            0.090564,           0.0062112,             0.88185,             0.22423,               0.237,            0.097887,            0.058457,             0.07321,           0.0073296,            0.004258,            0.004258,            0.004258
                 147,            0.069719,             0.10411,           0.0065745,             0.91296,             0.23849,             0.26702,             0.11693,            0.059013,            0.073122,            0.007327,           0.0042184,           0.0042184,           0.0042184
                 148,            0.060803,             0.10802,           0.0057786,             0.91296,             0.23849,             0.26702,             0.11693,            0.059013,            0.073122,            0.007327,           0.0041788,           0.0041788,           0.0041788
                 149,            0.058642,            0.091339,            0.008807,             0.90409,             0.23849,             0.25293,             0.10155,            0.057382,            0.074065,           0.0073043,           0.0041392,           0.0041392,           0.0041392
                 150,            0.064341,            0.092661,            0.010811,             0.90409,             0.23849,             0.25293,             0.10155,            0.057382,            0.074065,           0.0073043,           0.0040996,           0.0040996,           0.0040996
                 151,            0.062647,             0.10283,            0.013575,             0.91739,             0.24671,               0.268,             0.11619,            0.055214,             0.07356,           0.0072749,             0.00406,             0.00406,             0.00406
                 152,            0.061688,             0.10169,            0.013078,             0.91739,             0.24671,               0.268,             0.11619,            0.055214,             0.07356,           0.0072749,           0.0040204,           0.0040204,           0.0040204
                 153,            0.060244,             0.10817,           0.0045995,             0.91855,             0.23738,             0.26578,             0.11918,            0.055383,            0.074735,           0.0072598,           0.0039808,           0.0039808,           0.0039808
                 154,            0.059013,               0.118,           0.0068953,             0.91855,             0.23738,             0.26578,             0.11918,            0.055383,            0.074735,           0.0072598,           0.0039412,           0.0039412,           0.0039412
                 155,            0.056153,            0.095326,             0.00809,             0.91324,              0.2415,              0.2655,             0.11891,            0.057766,            0.074494,           0.0072424,           0.0039016,           0.0039016,           0.0039016
                 156,            0.062627,            0.093524,           0.0066682,             0.91324,              0.2415,              0.2655,             0.11891,            0.057766,            0.074494,           0.0072424,            0.003862,            0.003862,            0.003862
                 157,            0.062781,              0.1105,           0.0057796,             0.91663,             0.22518,             0.25855,             0.10677,            0.058063,            0.074124,            0.007213,           0.0038224,           0.0038224,           0.0038224
